"GENE"	"PATTERN"	"ALLELES"
"IGHV3-43D"	"bp02"	"04"
"IGHV3-47"	"bp01"	"01"
"IGHV3-47"	"bp02"	"02"
"IGHV3-48"	"bp01"	"01"
"IGHV3-48"	"bp02"	"02"
"IGHV3-48"	"bp03"	"03"
"IGHV3-48"	"bp04"	"04"
"IGHV3-49"	"bp01"	"01"
"IGHV3-49"	"bp02"	"02"
"IGHV3-49"	"bp03"	"03,05"
"IGHV3-49"	"bp04"	"04"
"IGHV3-52"	"bp01"	"01,03"
"IGHV3-52"	"bp02"	"02"
"IGHV3-53"	"bp01"	"01,02"
"IGHV3-53"	"bp02"	"03"
"IGHV3-53"	"bp03"	"04"
"IGHV3-53"	"bp04"	"05"
"IGHV3-54"	"bp01"	"01"
"IGHV3-54"	"bp02"	"02"
"IGHV3-54"	"bp03"	"04"
"IGHV3-62"	"bp01"	"01"
"IGHV3-62"	"bp02"	"03"
"IGHV3-62"	"bp03"	"04"
"IGHV3-63"	"bp01"	"01"
"IGHV3-63"	"bp02"	"02"
"IGHV3-64"	"bp01"	"01"
"IGHV3-64"	"bp02"	"02,07"
"IGHV3-64"	"bp03"	"03"
"IGHV3-64"	"bp04"	"04"
"IGHV3-64"	"bp05"	"05"
"IGHV3-64D"	"bp01"	"06"
"IGHV3-64D"	"bp02"	"08"
"IGHV3-64D"	"bp03"	"09"
"IGHV3-66"	"bp01"	"01"
"IGHV3-66"	"bp02"	"02"
"IGHV3-66"	"bp03"	"03"
"IGHV3-66"	"bp04"	"04"
"IGHV3-69-1"	"bp01"	"01"
"IGHV3-69-1"	"bp02"	"02"
"IGHV3-7"	"bp01"	"01"
"IGHV3-7"	"bp02"	"02"
"IGHV3-7"	"bp03"	"03"
"IGHV3-7"	"bp04"	"04"
"IGHV3-7"	"bp05"	"05"
"IGHV3-71"	"bp01"	"01,04"
"IGHV3-71"	"bp02"	"02"
"IGHV3-71"	"bp03"	"03"
"IGHV3-72"	"bp01"	"01"
"IGHV3-72"	"bp02"	"02"
"IGHV3-74"	"bp01"	"01,02"
"IGHV3-74"	"bp02"	"03"
"IGHV3-9"	"bp01"	"01"
"IGHV3-9"	"bp02"	"02"
"IGHV3-9"	"bp03"	"03"
"IGHV3-NL1"	"bp01"	"01"
"IGHV4-28"	"bp01"	"01,07"
"IGHV4-28"	"bp02"	"02,05"
"IGHV4-28"	"bp03"	"03"
"IGHV4-28"	"bp04"	"04"
"IGHV4-28"	"bp05"	"06"
"IGHV4-30-2"	"bp01"	"01"
"IGHV4-30-2"	"bp02"	"02"
"IGHV4-30-2"	"bp03"	"03"
"IGHV4-30-2"	"bp04"	"04"
"IGHV4-30-2"	"bp05"	"05"
"IGHV4-30-2"	"bp06"	"06"
"IGHV4-30-4"	"bp01"	"01"
"IGHV4-30-4"	"bp02"	"02"
"IGHV4-30-4"	"bp03"	"03"
"IGHV4-30-4"	"bp04"	"04"
"IGHV4-30-4"	"bp05"	"05"
"IGHV4-30-4"	"bp06"	"06"
"IGHV4-30-4"	"bp07"	"07"
"IGHV4-30-4"	"bp08"	"08"
"IGHV4-31"	"bp01"	"01"
"IGHV4-31"	"bp02"	"02"
"IGHV4-31"	"bp03"	"03,04"
"IGHV4-31"	"bp04"	"05"
"IGHV4-31"	"bp05"	"06"
"IGHV4-31"	"bp06"	"07"
"IGHV4-31"	"bp07"	"08"
"IGHV4-31"	"bp08"	"09"
"IGHV4-31"	"bp09"	"10"
"IGHV4-31"	"bp10"	"11"
"IGHV4-34"	"bp01"	"01,02"
"IGHV4-34"	"bp02"	"03"
"IGHV4-34"	"bp03"	"04"
"IGHV4-34"	"bp04"	"05"
"IGHV4-34"	"bp05"	"06"
"IGHV4-34"	"bp06"	"07"
"IGHV4-34"	"bp07"	"08"
"IGHV4-34"	"bp08"	"09"
"IGHV4-34"	"bp09"	"10"
"IGHV4-34"	"bp10"	"11"
"IGHV4-34"	"bp11"	"12"
"IGHV4-34"	"bp12"	"13"
"IGHV4-38-2"	"bp01"	"01"
"IGHV4-38-2"	"bp02"	"02"
"IGHV4-39"	"bp01"	"01,05"
"IGHV4-39"	"bp02"	"02"
"IGHV4-39"	"bp03"	"03"
"IGHV4-39"	"bp04"	"04"
"IGHV4-39"	"bp05"	"06"
"IGHV4-39"	"bp06"	"07"
"IGHV4-4"	"bp01"	"01"
"IGHV4-4"	"bp02"	"02,03"
"IGHV4-4"	"bp03"	"02,03,05"
"IGHV4-4"	"bp04"	"04"
"IGHV4-4"	"bp05"	"06"
"IGHV4-4"	"bp06"	"07"
"IGHV4-4"	"bp07"	"08"
"IGHV4-4"	"bp08"	"09"
"IGHV4-55"	"bp01"	"01,05"
"IGHV4-55"	"bp02"	"02,04,08"
"IGHV4-55"	"bp03"	"03"
"IGHV4-55"	"bp04"	"06"
"IGHV4-55"	"bp05"	"07"
"IGHV4-55"	"bp06"	"09"
"IGHV4-59"	"bp01"	"01,07"
"IGHV4-59"	"bp02"	"02"
"IGHV4-59"	"bp03"	"03"
"IGHV4-59"	"bp04"	"04"
"IGHV4-59"	"bp05"	"05"
"IGHV4-59"	"bp06"	"06"
"IGHV4-59"	"bp07"	"08"
"IGHV4-59"	"bp08"	"09"
"IGHV4-59"	"bp09"	"10"
"IGHV4-59"	"bp10"	"11"
